Name,Height,Weight,Reach,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,WEIGHT_CLASS,RANK_NUM,WEIGHT_CODE,TOTAL,WINS,KO_TKO,SUB_WINS,DEC_WINS,LOSSES,DRAWS,AVG_TIME
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,11-Apr-93,8.07,67%,2.89,65%,3.27,100%,100%,1.6,Heavyweight,C,6,18,15,12,3,0,3,0,122
Ciryl Gane,"6' 4""",245 lbs.,"81""",Orthodox,12-Apr-90,5.26,61%,2.23,61%,0.7,25%,43%,0.6,Heavyweight,1,6,15,13,8,3,2,2,0,195
Alexander Volkov,"6' 7""",250 lbs.,"80""",Orthodox,24-Oct-88,4.97,57%,2.99,54%,0.61,66%,72%,0.2,Heavyweight,2,6,50,39,25,4,10,11,0,204
Sergei Pavlovich,"6' 3""",257 lbs.,"84""",Southpaw,13-May-92,4.43,44%,3.62,55%,0.48,25%,75%,0,Heavyweight,3,6,22,19,16,0,3,3,0,206
Curtis Blaydes,"6' 4""",265 lbs.,"80""",Orthodox,18-Feb-91,3.56,50%,2,58%,5.38,48%,31%,0,Heavyweight,4,6,24,18,13,0,5,5,0,295
Jailton Almeida,"6' 3""",205 lbs.,"79""",Orthodox,26-Jun-91,2.62,65%,0.89,41%,6.58,60%,60%,2.4,Heavyweight,5,6,25,22,8,13,1,3,0,327
Waldo Cortes-Acosta,"6' 4""",260 lbs.,"78""",Orthodox,03-Oct-91,5.61,48%,3.51,55%,0.37,50%,71%,0.1,Heavyweight,6,6,42,28,23,1,4,12,0,328
Serghei Spivac,"6' 3""",260 lbs.,"78""",Orthodox,24-Jan-95,3.45,48%,4.25,50%,4.21,62%,63%,0.5,Heavyweight,7,6,33,25,10,6,9,8,0,334
Derrick Lewis,"6' 3""",260 lbs.,"79""",Orthodox,07-Feb-85,2.51,50%,2.49,40%,0.56,26%,52%,0,Heavyweight,8,6,23,17,7,8,2,6,0,340
Ante Delija,"6' 3""",239 lbs.,"78""",Orthodox,07-Aug-90,6.34,46%,1.95,55%,0,0%,0%,0,Heavyweight,9,6,23,15,14,0,1,8,0,342
Marcin Tybura,"6' 3""",246 lbs.,"78""",Orthodox,09-Nov-85,3.59,48%,3.33,55%,1.38,33%,75%,0.1,Heavyweight,10,6,14,13,7,0,6,1,0,651
Khamzat Chimaev,"6' 2""",185 lbs.,"75""",Orthodox,01-May-94,4.04,60%,2.32,43%,5.29,55%,85%,1.8,Middleweight,C,4,15,15,6,6,3,0,0,491
Dricus Du Plessis,"6' 1""",185 lbs.,"76""",Switch,14-Jan-94,5.18,48%,4.33,52%,2.22,51%,34%,0.7,Middleweight,1,4,26,23,9,11,3,3,0,893
